,time,live_room_id,live_start_time,live_comment
0,2025-01-01 05:05:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_324e29ec', 'time': 1735707841628, 'content': '活动到什么时候？'}, {'nick_name': 'User_324e29ec', 'time': 1735707859457, 'content': '怎么领券？'}]"
1,2025-01-01 05:06:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_ff767ba3', 'time': 1735707903283, 'content': '是正品吗？'}, {'nick_name': 'User_3e61fbb8', 'time': 1735707959429, 'content': '大家用过吗？'}]"
2,2025-01-01 05:07:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_59dfeec2', 'time': 1735708011797, 'content': '刚进直播间，看看。'}]"
3,2025-01-01 05:08:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_7499aacc', 'time': 1735708053031, 'content': '主播推荐靠谱。'}, {'nick_name': 'User_7499aacc', 'time': 1735708078091, 'content': '福利好多呀。'}]"
4,2025-01-01 05:09:00,ROOM_0001,2025-01-01 05:01:34,[]
5,2025-01-01 05:10:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_9db7c1b0', 'time': 1735708159174, 'content': '怎么下单？'}, {'nick_name': 'User_9db7c1b0', 'time': 1735708163595, 'content': '这个码数怎么选？'}, {'nick_name': 'User_1550e1f3', 'time': 1735708180742, 'content': '包邮吗？'}, {'nick_name': 'User_1550e1f3', 'time': 1735708199492, 'content': '终于抢到了。'}]"
6,2025-01-01 05:11:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_534ef2f2', 'time': 1735708201237, 'content': '等下再决定。'}, {'nick_name': 'User_0e8ebdf8', 'time': 1735708234070, 'content': '不懂就问。'}, {'nick_name': 'User_0224e3a2', 'time': 1735708246770, 'content': '大家用过吗？'}]"
7,2025-01-01 05:12:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_1550e1f3', 'time': 1735708294344, 'content': '已下单，期待发货。'}, {'nick_name': 'User_ac815e05', 'time': 1735708296192, 'content': '有其他颜色吗？'}]"
8,2025-01-01 05:13:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_035c7857', 'time': 1735708332572, 'content': '大家觉得怎么样？'}, {'nick_name': 'User_035c7857', 'time': 1735708345875, 'content': '看看有没有合适的。'}, {'nick_name': 'User_08313f5a', 'time': 1735708351440, 'content': '刚进，不太懂。'}]"
9,2025-01-01 05:14:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_2bfcecb6', 'time': 1735708380072, 'content': '直播太卡了。'}, {'nick_name': 'User_e1c407e2', 'time': 1735708386667, 'content': '主播再讲一遍。'}, {'nick_name': 'User_836a95f5', 'time': 1735708397611, 'content': '直播多长时间？'}, {'nick_name': 'User_836a95f5', 'time': 1735708410059, 'content': '我也在观望。'}, {'nick_name': 'User_02219383', 'time': 1735708412777, 'content': '怎么领券？'}, {'nick_name': 'User_02219383', 'time': 1735708434789, 'content': '大家觉得怎么样？'}, {'nick_name': 'User_e1c407e2', 'time': 1735708438994, 'content': '直播间噪音大。'}, {'nick_name': 'User_2bfcecb6', 'time': 1735708439955, 'content': '再也不买了。'}]"
10,2025-01-01 05:15:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_949e4de3', 'time': 1735708444076, 'content': '有发票吗？'}, {'nick_name': 'User_949e4de3', 'time': 1735708444467, 'content': '可以退差价吗？'}, {'nick_name': 'User_e1c407e2', 'time': 1735708451516, 'content': '产品质量好，值得买。'}, {'nick_name': 'User_ba57df7c', 'time': 1735708452053, 'content': '每天必看主播。'}, {'nick_name': 'User_e1c407e2', 'time': 1735708452369, 'content': '是正品吗？'}, {'nick_name': 'User_02219383', 'time': 1735708468353, 'content': '保质期多久？'}, {'nick_name': 'User_949e4de3', 'time': 1735708474469, 'content': '多少包邮？'}, {'nick_name': 'User_ac815e05', 'time': 1735708497533, 'content': '大家用过吗？'}]"
11,2025-01-01 05:16:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_02219383', 'time': 1735708502326, 'content': '主播这个多少钱？'}, {'nick_name': 'User_e1c407e2', 'time': 1735708504588, 'content': '怎么领券？'}, {'nick_name': 'User_4b09925b', 'time': 1735708530059, 'content': '主播态度不好。'}, {'nick_name': 'User_e1c407e2', 'time': 1735708540297, 'content': '多久能发货？'}]"
12,2025-01-01 05:17:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_808c97d0', 'time': 1735708582275, 'content': '活动到什么时候？'}, {'nick_name': 'User_abc254b8', 'time': 1735708588836, 'content': '主播说下尺寸。'}, {'nick_name': 'User_e9b10f83', 'time': 1735708589607, 'content': '发货慢死了。'}, {'nick_name': 'User_02219383', 'time': 1735708614353, 'content': '终于等到直播了。'}, {'nick_name': 'User_81245132', 'time': 1735708614862, 'content': '物流太慢。'}, {'nick_name': 'User_02219383', 'time': 1735708619054, 'content': '主播推荐靠谱。'}, {'nick_name': 'User_a31c7e4c', 'time': 1735708619997, 'content': '还有库存吗？'}]"
13,2025-01-01 05:18:00,ROOM_0001,2025-01-01 05:01:34,"[{'nick_name': 'User_81245132', 'time': 1735708626136, 'content': '主播讲下材质。'}, {'nick_name': 'User_3b5f4296', 'time': 1735708627152, 'content': '今天有什么优惠？'}, {'nick_name': 'User_6581652f', 'time': 1735708651576, 'content': '主播演示一下功能。'}, {'nick_name': 'User_237faadf', 'time': 1735708656763, 'content': '忽悠人吧。'}]"
